Year,State,LaborForceParticipation
1977/3/1,Pennsylvania,58.6
1977/3/1,Rhode Island,63.5
1977/3/1,South Carolina,64.6
1977/3/1,South Dakota,65.2
1977/3/1,Tennessee,60.8
1977/3/1,Texas,64.2
1977/3/1,Utah,63.2
1977/3/1,Vermont,64.1
1977/3/1,Virginia,65.4
1977/3/1,Washington,62.6
1977/3/1,West Virginia,51.5
1977/3/1,Wisconsin,65.9
1977/3/1,Wyoming,66.8
1977/4/1,Alabama,58
1977/4/1,Alaska,69.5
1977/4/1,Arizona,60.5
1977/4/1,Arkansas,58.3
1977/4/1,California,63.5
1977/4/1,Colorado,67.3
1977/4/1,Connecticut,64.7
1977/4/1,Delaware,63.6
1977/4/1,District of Columbia,63.9
1977/4/1,Florida,55
1977/4/1,Georgia,63.9
1977/4/1,Hawaii,68.7
1977/4/1,Idaho,64.5
1977/4/1,Illinois,63.6
1977/4/1,Indiana,64
1977/4/1,Iowa,65.5
1977/4/1,Kansas,66.2
1977/4/1,Kentucky,60.5
1977/4/1,Louisiana,57.3
1977/4/1,Maine,61.1
1977/4/1,Maryland,64.8
1977/4/1,Massachusetts,64.6
1977/4/1,Michigan,62.5
1977/4/1,Minnesota,67
1977/4/1,Mississippi,58.7
1977/4/1,Missouri,62
1977/4/1,Montana,63.2
1977/4/1,Nebraska,66.1
1977/4/1,Nevada,71.3
1977/4/1,New Hampshire,66.9
1977/4/1,New Jersey,62.4
1977/4/1,New Mexico,61.1
1977/4/1,New York,58.3
1977/4/1,North Carolina,66.3
1977/4/1,North Dakota,63.6
1977/4/1,Ohio,61.8
1977/4/1,Oklahoma,59.8
1977/4/1,Oregon,63.9
1977/4/1,Pennsylvania,58.7
1977/4/1,Rhode Island,63.5
1977/4/1,South Carolina,64.6
1977/4/1,South Dakota,65.2
1977/4/1,Tennessee,60.8
1977/4/1,Texas,64.3
1977/4/1,Utah,63.2
1977/4/1,Vermont,64.2
1977/4/1,Virginia,65.4
1977/4/1,Washington,62.6
1977/4/1,West Virginia,51.6
1977/4/1,Wisconsin,65.9
1977/4/1,Wyoming,67.1
1977/5/1,Alabama,58.1
1977/5/1,Alaska,69.8
1977/5/1,Arizona,60.6
1977/5/1,Arkansas,58.3
1977/5/1,California,63.6
1977/5/1,Colorado,67.3
1977/5/1,Connecticut,64.7
1977/5/1,Delaware,63.6
1977/5/1,District of Columbia,63.8
1977/5/1,Florida,55.2
1977/5/1,Georgia,63.8
1977/5/1,Hawaii,68.6
1977/5/1,Idaho,64.6
1977/5/1,Illinois,63.8
1977/5/1,Indiana,64.1
1977/5/1,Iowa,65.5
1977/5/1,Kansas,66.2
1977/5/1,Kentucky,60.5
1977/5/1,Louisiana,57.5
1977/5/1,Maine,61
1977/5/1,Maryland,64.8
1977/5/1,Massachusetts,64.7
1977/5/1,Michigan,62.6
1977/5/1,Minnesota,67.2
1977/5/1,Mississippi,58.8
